pair_id,category,question,correct_answer,wrong_answer,ctrl_top1_decoded,contr_top1_decoded,kl_ctrl_to_contr,kl_contr_to_ctrl,jsd,hellinger,fisher_rao,total_variation,bhattacharyya_coef,ctrl_top1_id,contr_top1_id,same_top1_token,p_ctrl_top1_prob,p_contr_top1_prob
0,literature,Who wrote the play 'Hamlet'?,William Shakespeare,Charles Dickens, YES, NO,20.25629425048828,7.096419811248779,0.6897881329059601,0.9854757053065684,3.0839093882156043,0.999168872833252,0.02883763425052166,14080,5664,False,0.9989148378372192,0.9994494318962097
1,literature,Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway, YES, NO,17.37214469909668,9.252866744995117,0.6926534473896027,0.9950021610846066,3.1216509242892316,0.9999029636383057,0.009970699436962605,14080,5664,False,0.9997130036354065,0.9992833733558655
2,literature,Who wrote '1984'?,George Orwell,Aldous Huxley, YES, NO,19.270090103149414,7.923842906951904,0.6915291249752045,0.9904019949382924,3.103382552321037,0.9996369481086731,0.019103888422250748,14080,5664,False,0.9993828535079956,0.9995542168617249
3,literature,Who wrote 'Pride and Prejudice'?,Jane Austen,Charlotte Brontë, YES, NO,18.574342727661133,6.927031517028809,0.6892436742782593,0.9841425844599831,3.0786555197326035,0.9990132451057434,0.031463373452425,14080,5664,False,0.9985994696617126,0.9989771842956543
4,literature,Who wrote 'The Lord of the Rings'?,J.R.R. Tolkien,C.S. Lewis, YES, NO,19.754833221435547,6.51813268661499,0.6875921785831451,0.9805674921141259,3.064598850564962,0.9985216856002808,0.03848739340901375,14080,5664,False,0.9981482625007629,0.9996362924575806
5,literature,Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,Leo Tolstoy, YES, NO,16.37174415588379,8.687722206115723,0.6923125088214874,0.9932991637366335,3.1148783165882707,0.9998224973678589,0.013356771320104599,14080,5664,False,0.9994581341743469,0.996968686580658
6,literature,Who wrote 'One Hundred Years of Solitude'?,Gabriel García Márquez,Mario Vargas Llosa, YES, NO,16.571712493896484,8.4588623046875,0.6921283900737762,0.9925432496697731,3.1118757650823485,0.9997760057449341,0.014857897534966469,14080,5664,False,0.9992449283599854,0.9982494711875916
7,literature,Who wrote 'To Kill a Mockingbird'?,Harper Lee,Truman Capote, YES, NO,2.018641948699951,5.395009517669678,0.4853764623403549,0.7775193979229221,2.32844759977278,0.8674124479293823,0.39546358585357666,14080,5664,False,0.9984117746353149,0.8684705495834351
8,literature,Who wrote 'Moby-Dick'?,Herman Melville,Nathaniel Hawthorne, YES, NO,20.1589298248291,7.847153663635254,0.6914123594760895,0.9900320418216724,3.101916938974204,0.9996067881584167,0.019836556166410446,14080,5664,False,0.9992225766181946,0.9992733597755432
9,literature,Who wrote 'Beloved'?,Toni Morrison,Alice Walker, YES, NO,17.10498809814453,8.474421501159668,0.6921333372592926,0.9925827807475269,3.1120327306605016,0.9997802972793579,0.014779423363506794,14080,5664,False,0.9992940425872803,0.996545135974884
