question_id,category,question,correct_answer,wrong_answer,correct_first_tok_id,wrong_first_tok_id,top1_token_id,top1_token_decoded,top1_prob,entropy,surprise_on_correct_first_tok,surprise_on_wrong_first_tok,log_p_correct_over_p_wrong,top1_is_correct_first,top1_is_wrong_first
0,literature,Who wrote the play 'Hamlet'?,William Shakespeare,Charles Dickens,128000,128000,12656, William,0.9385852813720703,0.36372119188308716,21.65507698059082,21.65507698059082,0.0,False,False
1,literature,Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway,128000,128000,435, F,0.9941174983978271,0.052393317222595215,21.381895065307617,21.381895065307617,0.0,False,False
2,literature,Who wrote '1984'?,George Orwell,Aldous Huxley,128000,128000,10058, George,0.965614378452301,0.21821238100528717,22.392948150634766,22.392948150634766,0.0,False,False
3,literature,Who wrote 'Pride and Prejudice'?,Jane Austen,Charlotte Brontë,128000,128000,22195, Jane,0.9661463499069214,0.25565701723098755,22.298152923583984,22.298152923583984,0.0,False,False
4,literature,Who wrote 'The Lord of the Rings'?,J.R.R. Tolkien,C.S. Lewis,128000,128000,622, J,0.9584048390388489,0.29020270705223083,20.753368377685547,20.753368377685547,0.0,False,False
5,literature,Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,Leo Tolstoy,128000,128000,435, F,0.8891392350196838,0.6234216690063477,20.526348114013672,20.526348114013672,0.0,False,False
6,literature,Who wrote 'One Hundred Years of Solitude'?,Gabriel García Márquez,Mario Vargas Llosa,128000,128000,39843, Gabriel,0.8889514207839966,0.7082108855247498,21.110380172729492,21.110380172729492,0.0,False,False
7,literature,Who wrote 'To Kill a Mockingbird'?,Harper Lee,Truman Capote,128000,128000,33107, Harper,0.9874568581581116,0.1114291399717331,19.440078735351562,19.440078735351562,0.0,False,False
8,literature,Who wrote 'Moby-Dick'?,Herman Melville,Nathaniel Hawthorne,128000,128000,61338, Herman,0.9623791575431824,0.3086037039756775,21.572139739990234,21.572139739990234,0.0,False,False
9,literature,Who wrote 'Beloved'?,Toni Morrison,Alice Walker,128000,128000,90402, Toni,0.9808336496353149,0.14982664585113525,18.061275482177734,18.061275482177734,0.0,False,False
10,geography,What is the capital of France?,Paris,Lyon,128000,128000,12366, Paris,0.9976874589920044,0.020283905789256096,26.151945114135742,26.151945114135742,0.0,False,False
11,geography,What is the capital of Australia?,Canberra,Sydney,128000,128000,69890, Canberra,0.9891422986984253,0.08116457611322403,23.511138916015625,23.511138916015625,0.0,False,False
12,geography,What is the capital of Brazil?,Brasília,Rio de Janeiro,128000,128000,62224, Bras,0.9903485774993896,0.07792944461107254,23.479188919067383,23.479188919067383,0.0,False,False
13,geography,What is the capital of Canada?,Ottawa,Toronto,128000,128000,33266, Ottawa,0.997526228427887,0.023139512166380882,25.314651489257812,25.314651489257812,0.0,False,False
14,geography,What is the capital of Egypt?,Cairo,Alexandria,128000,128000,53650, Cairo,0.9762638807296753,0.1696922332048416,20.607603073120117,20.607603073120117,0.0,False,False
15,geography,What is the capital of South Korea?,Seoul,Busan,128000,128000,51289, Seoul,0.9907369017601013,0.07590658217668533,22.93760871887207,22.93760871887207,0.0,False,False
16,geography,What is the capital of Argentina?,Buenos Aires,Córdoba,128000,128000,69173, Buenos,0.9983975291252136,0.01732499524950981,21.43693733215332,21.43693733215332,0.0,False,False
17,geography,What is the capital of Turkey?,Ankara,Istanbul,128000,128000,71344, Ankara,0.9968848824501038,0.025333210825920105,25.12862205505371,25.12862205505371,0.0,False,False
18,geography,What is the capital of Switzerland?,Bern,Zurich,128000,128000,14502, Bern,0.9661544561386108,0.20579646527767181,20.9233455657959,20.9233455657959,0.0,False,False
19,geography,What is the capital of South Africa (executive)?,Pretoria,Cape Town,128000,128000,578, The,0.34677526354789734,3.0452051162719727,17.128387451171875,17.128387451171875,0.0,False,False
20,history,Who was the first President of the United States?,George Washington,Thomas Jefferson,128000,128000,10058, George,0.9932006001472473,0.05936446785926819,24.823476791381836,24.823476791381836,0.0,False,False
21,history,Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo,128000,128000,66486, Leonardo,0.9775629043579102,0.17105354368686676,22.62922477722168,22.62922477722168,0.0,False,False
22,history,Who composed the Fifth Symphony famous for its da-da-da-DUM motif?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,128000,128000,2893, Be,0.19211290776729584,3.6976406574249268,16.043216705322266,16.043216705322266,0.0,False,False
23,history,Who developed the theory of general relativity?,Albert Einstein,Isaac Newton,128000,128000,17971, Albert,0.9885603785514832,0.08650027960538864,22.134349822998047,22.134349822998047,0.0,False,False
24,history,Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,128000,128000,33116, Marie,0.9763432145118713,0.21092791855335236,18.706912994384766,18.706912994384766,0.0,False,False
25,history,Who led non-violent civil disobedience against British rule in India?,Mahatma Gandhi,Jawaharlal Nehru,128000,128000,16566, Mah,0.8704798221588135,0.6061612367630005,19.555879592895508,19.555879592895508,0.0,False,False
26,history,Who was the first emperor of unified China?,Qin Shi Huang,Han Wudi,128000,128000,74451, Qin,0.794671893119812,0.8520821928977966,18.74043083190918,18.74043083190918,0.0,False,False
27,history,Who painted 'The Starry Night'?,Vincent van Gogh,Claude Monet,128000,128000,35407, Vincent,0.8708856105804443,0.8316717147827148,21.818843841552734,21.818843841552734,0.0,False,False
28,history,Who wrote 'The Origin of Species'?,Charles Darwin,Alfred Russel Wallace,128000,128000,15274, Charles,0.9769576787948608,0.18902987241744995,22.225353240966797,22.225353240966797,0.0,False,False
29,history,Who was the longest-reigning British monarch as of 2024?,Elizabeth II,Victoria,128000,128000,1666, As,0.48278653621673584,1.8616527318954468,21.639739990234375,21.639739990234375,0.0,False,False
30,science,What is the chemical symbol for gold?,Au,Ag,128000,128000,33150, Au,0.9887075424194336,0.09454014152288437,20.492862701416016,20.492862701416016,0.0,False,False
31,science,What is the chemical symbol for sodium?,Na,So,128000,128000,13106, Na,0.9964348077774048,0.03257232531905174,21.4643611907959,21.4643611907959,0.0,False,False
32,science,What planet is known as the Red Planet?,Mars,Jupiter,128000,128000,21725, Mars,0.9995532631874084,0.0047523812390863895,26.620174407958984,26.620174407958984,0.0,False,False
33,science,What is the largest planet in our solar system?,Jupiter,Saturn,128000,128000,50789, Jupiter,0.9641008973121643,0.19054599106311798,22.756916046142578,22.756916046142578,0.0,False,False
34,science,What is the speed of light approximately (in meters per second)?,"300,000,000","150,000,000",128000,128000,220, ,0.9141870737075806,0.43313494324684143,22.640512466430664,22.640512466430664,0.0,False,False
35,science,What gas do plants primarily absorb during photosynthesis?,Carbon dioxide,Oxygen,128000,128000,22208, Carbon,0.9080791473388672,0.4077094495296478,20.894065856933594,20.894065856933594,0.0,False,False
