pair_id,category,question,correct_answer,wrong_answer,ctrl_top1_decoded,contr_top1_decoded,kl_ctrl_to_contr,kl_contr_to_ctrl,jsd,hellinger,fisher_rao,total_variation,bhattacharyya_coef,ctrl_top1_id,contr_top1_id,same_top1_token,p_ctrl_top1_prob,p_contr_top1_prob
0,literature,Who wrote the play 'Hamlet'?,William Shakespeare,Charles Dickens, YES, NO,3.042834997177124,3.440626621246338,0.5531249046325684,0.8078227398516669,2.4319508668075294,0.9351363778114319,0.34742242097854614,14410,5782,False,0.9648594260215759,0.9392649531364441
1,literature,Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway, YES, NO,2.9877195358276367,2.9159388542175293,0.5270635783672333,0.7820510000503572,2.343811550149259,0.9197978973388672,0.3883962333202362,14410,5782,False,0.9475569128990173,0.9373128414154053
2,literature,Who wrote '1984'?,George Orwell,Aldous Huxley, YES, NO,2.419609785079956,2.6997272968292236,0.4809711426496506,0.7394603618060143,2.200892503751987,0.8877702355384827,0.4531983733177185,14410,5782,False,0.9434847235679626,0.911034882068634
3,literature,Who wrote 'Pride and Prejudice'?,Jane Austen,Charlotte Brontë, YES, NO,1.8280078172683716,2.8344483375549316,0.42966973781585693,0.700101157099979,2.0715523626819468,0.8370052576065063,0.5098583698272705,14410,5782,False,0.96308434009552,0.8375394940376282
4,literature,Who wrote 'The Lord of the Rings'?,J.R.R. Tolkien,C.S. Lewis, YES, NO,2.2058308124542236,2.8991830348968506,0.47250571846961975,0.7345348143678745,2.1845691264604774,0.8785861730575562,0.4604586064815521,14410,5782,False,0.9575430750846863,0.8897166848182678
5,literature,Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,Leo Tolstoy, YES, YES,0.04231193661689758,0.06058401241898537,0.012123286258429289,0.1116117912414379,0.3160144529812898,0.08260549604892731,0.9875428080558777,14410,14410,True,0.9502216577529907,0.8684087991714478
6,literature,Who wrote 'One Hundred Years of Solitude'?,Gabriel García Márquez,Mario Vargas Llosa, YES, NO,2.0441231727600098,2.3985798358917236,0.4347918927669525,0.6971142601894549,2.0618358121709526,0.8524476885795593,0.514031708240509,14410,5782,False,0.934537947177887,0.8747429847717285
7,literature,Who wrote 'To Kill a Mockingbird'?,Harper Lee,Truman Capote, YES, YES,0.20746199786663055,0.33671262860298157,0.05852016061544418,0.24988875298105068,0.7105227168035457,0.2350514531135559,0.9375556111335754,14410,14410,True,0.9445070028305054,0.712768018245697
8,literature,Who wrote 'Moby-Dick'?,Herman Melville,Nathaniel Hawthorne, YES, YES,0.043722037225961685,0.059562038630247116,0.012357913423329592,0.11235934047197138,0.3181355018793989,0.08661078661680222,0.9873753786087036,14410,14410,True,0.9372599720954895,0.8563504219055176
9,literature,Who wrote 'Beloved'?,Toni Morrison,Alice Walker, YES, YES,0.17879551649093628,0.29860761761665344,0.05256242677569389,0.2360603770432519,0.6708196142190214,0.21838027238845825,0.9442754983901978,14410,14410,True,0.9439864754676819,0.7319738268852234
