pair_id,category,question,correct_answer,wrong_answer,ctrl_top1_decoded,contr_top1_decoded,kl_ctrl_to_contr,kl_contr_to_ctrl,jsd,hellinger,fisher_rao,total_variation,bhattacharyya_coef,ctrl_top1_id,contr_top1_id,same_top1_token,p_ctrl_top1_prob,p_contr_top1_prob
0,literature,Who wrote the play 'Hamlet'?,William Shakespeare,Charles Dickens,Y,NO,4.735352516174316,7.387465476989746,0.6649369597434998,0.939311324142247,2.90565733440924,0.9898345470428467,0.11769423633813858,1395,8697,False,0.9685333967208862,0.9647637605667114
1,literature,Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway,Y,NO,5.201981544494629,7.338540077209473,0.6726001799106598,0.9488028882982621,2.941713934100045,0.9928299188613892,0.09977307915687561,1395,8697,False,0.9742519855499268,0.9559603929519653
2,literature,Who wrote '1984'?,George Orwell,Aldous Huxley,Y,NO,1.4068620204925537,4.532774448394775,0.3818308264017105,0.6907722022830174,2.041248866774634,0.7558711767196655,0.5228337645530701,1395,8697,False,0.9718827605247498,0.7416203022003174
3,literature,Who wrote 'Pride and Prejudice'?,Jane Austen,Charlotte Brontë,Y,NO,5.054372787475586,7.5175862312316895,0.6710060834884644,0.9472286767734244,2.935713577120064,0.9922611117362976,0.10275783389806747,1395,8697,False,0.9761005640029907,0.9741296172142029
4,literature,Who wrote 'The Lord of the Rings'?,J.R.R. Tolkien,C.S. Lewis,Y,NO,3.705162763595581,7.146579265594482,0.6323843598365784,0.9051087856244379,2.778037624431305,0.9741668105125427,0.18077808618545532,1395,8697,False,0.9727591872215271,0.9629283547401428
5,literature,Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,Leo Tolstoy,Y,NO,4.410884380340576,6.579275608062744,0.6549408733844757,0.9246801274332199,2.850634096737491,0.9854738116264343,0.14496666193008423,1395,8697,False,0.9698528051376343,0.9601266384124756
6,literature,Who wrote 'One Hundred Years of Solitude'?,Gabriel García Márquez,Mario Vargas Llosa,Y,NO,2.770049810409546,6.2195963859558105,0.5699359178543091,0.8479016559656194,2.5717899483684477,0.9353470206260681,0.2810627818107605,1395,8697,False,0.9654181599617004,0.912052571773529
7,literature,Who wrote 'To Kill a Mockingbird'?,Harper Lee,Truman Capote,Y,NO,1.6526806354522705,5.387242317199707,0.4283451586961746,0.7344044212778557,2.1841375520328676,0.8083536624908447,0.46065014600753784,1395,8697,False,0.9634076356887817,0.7893763780593872
8,literature,Who wrote 'Moby-Dick'?,Herman Melville,Nathaniel Hawthorne,Y,NO,2.915356159210205,6.958802223205566,0.5839883685112,0.863254891938225,2.62632954343496,0.9447028040885925,0.2547909915447235,1395,8697,False,0.9682996273040771,0.9276191592216492
9,literature,Who wrote 'Beloved'?,Toni Morrison,Alice Walker,Y,Y,0.0013549694558605552,0.0016618581721559167,0.00036876143713016063,0.0193133598062169,0.05462812888667275,0.007683909498155117,0.9996269941329956,1395,1395,True,0.9700033068656921,0.9624513983726501
10,geography,What is the capital of France?,Paris,Lyon,Y,NO,4.239831447601318,4.7969818115234375,0.6352927088737488,0.8941188927938781,2.737751195428981,0.9781988263130188,0.20055140554904938,1395,8697,False,0.9542260766029358,0.9454963207244873
11,geography,What is the capital of Australia?,Canberra,Sydney,Y,NO,3.8351171016693115,5.556131839752197,0.6296958029270172,0.8934900312534693,2.735455982376041,0.9739832878112793,0.20167556405067444,1395,8697,False,0.967574417591095,0.9261355996131897
